Framework,Version,CIS Asset Type,NIST Category,Control ID,Control Description,Custom Mapping Category,Custom Mapping Criteria,Review Req.,Custom Mapping Sub Type,Implementation Market Technologies,Rapid7 Implementation Products (Custom Script),Supporting Market Technologies,Rapid7 Supporting Products (Custom Script),Technical Details,Primary Control Support,Evidence Available,Native R7 Data,3rd Party Data,Type,Implementation Details,Sub-Category,Additional Details,Product API,Delivered
PCI DSS,4,Data,Protect Account Data,3.7.5,"Key management policies procedures are implemented to include the retirement, replacement, or destruction of keys used to protect stored account data, as deemed necessary when: 
•         The key has reached the end of its defined cryptoperiod.
•                 The integrity of the key has been weakened, including when personnel with knowledge of a cleartext key component leaves the company, or the role for which the key component was known.
•                 The key is suspected of or known to be compromised. 
Retired or replaced keys are not used for encryption operations.
Applicability Notes
If retired or replaced cryptographic keys need to be retained, these keys must be securely archived (for example, by using a key-encryption key). ",,,False,,"SAST, WAF",,"SAST, WAF","Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command","encryption, encryption, key, protect",,Evidence logs/reports available via Rapid7 Cloud Platform APIs.,Yes,No,Control Supported,,"Where cryptography is used to protect stored account data, key management processes and procedures covering all aspects of the key lifecycle are defined and implemented.",,,
PCI DSS,4,Data,Protect Account Data,3.7.6,"Where manual cleartext cryptographic key-management operations are performed by personnel, key-management policies and procedures are implemented include managing these operations using split knowledge and dual control. 
Applicability Notes
This control is applicable for manual key-management operations or where key management is not controlled by the encryption product. 
A cryptographic key that is simply split into two parts does not meet this requirement. Secret or private keys stored as key components or key shares must be generated via one of the following: 
•         Using an approved random number generator and within a secure cryptographic device (SCD), such as a hardware security module (HSM) or PTS-approved point-of-interaction device, 
OR
•         According to ISO 19592 or equivalent industry standard for generation of secret key shares.",,,False,,"SAST, WAF",,"SAST, WAF","Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command","encryption, encryption, key",,Evidence logs/reports available via Rapid7 Cloud Platform APIs.,Yes,No,Control Supported,,"Where cryptography is used to protect stored account data, key management processes and procedures covering all aspects of the key lifecycle are defined and implemented.",,,
PCI DSS,4,Data,Protect Account Data,3.7.7,Key management policies and procedures are implemented to include the prevention of unauthorized substitution of cryptographic keys.,,,False,,"DLP, Encryption",,"DLP, Encryption",,"prevention, key",,Available via API/Product reports.,Partial,No,Control Supported,,"Where cryptography is used to protect stored account data, key management processes and procedures covering all aspects of the key lifecycle are defined and implemented.",,,
PCI DSS,4,Data,Protect Account Data,3.7.8,Key management policies and procedures are implemented to include that cryptographic key custodians formally acknowledge (in writing or electronically) that they understand and accept their key-custodian responsibilities.,,,False,,"DLP, Encryption",,"DLP, Encryption",,key,,Available via API/Product reports.,Partial,No,Control Supported,,"Where cryptography is used to protect stored account data, key management processes and procedures covering all aspects of the key lifecycle are defined and implemented.",,,
PCI DSS,4,Data,Protect Account Data,3.7.9,"Additional requirement for service providers only: Where a service provider shares cryptographic keys with its customers for transmission or storage of account data, guidance on secure transmission, storage and updating of such keys is documented and distributed to the service provider's customers.
Applicability Notes
This requirement applies only when the entity being assessed is a service provider.",,,False,,PaaS,,PaaS,"Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command",storage,,Evidence logs/reports available via Rapid7 Cloud Platform APIs.,Yes,No,Control Supported,,"Where cryptography is used to protect stored account data, key management processes and procedures covering all aspects of the key lifecycle are defined and implemented.",,,
PCI DSS,4,Documentation,Protect Cardholder Data,4.1.1,"All security policies and operational procedures that are identified in Requirement 4 are:
•         Documented
•         Kept up to date
•         In use
•         Known to all affected parties",,,False,,Encryption,,Encryption,,,,Available via API/Product reports.,Partial,No,Control Supported,,Processes and mechanisms for performing activities in Requirement 4 are defined and documented.,,,
PCI DSS,4,Documentation,Protect Cardholder Data,4.1.2,"Roles and responsibilities for performing activities in Requirement 4 are documented, assigned, and understood. 
New requirement - effective immediately",,,False,,Encryption,,Encryption,,,,Available via API/Product reports.,Partial,No,Control Supported,,Processes and mechanisms for performing activities in Requirement 4 are defined and documented.,,,
PCI DSS,4,Data,Protect Cardholder Data,4.2.1,"Strong cryptography and security protocols are implemented as follows to safeguard PAN during transmission over open, public networks:
•         Only trusted keys and certificates are accepted.
•         Certificates used to safeguard PAN during transmission over open, public networks are confirmed as valid and are not expired or revoked. This bullet is a best practice until its effective date; refer to applicability notes below for details.
•         The protocol in use supports only secure versions or configurations and does not support fallback to, or use of insecure versions, algorithms, key sizes, or implementations.
•         The encryption strength is appropriate for the encryption methodology in use. 
Applicability Notes
There could be occurrences where an entity receives cardholder data unsolicited via an insecure communication channel that was not intended for the purpose of receiving sensitive data. In this situation, the entity can choose to either include the channel in the scope of their CDE and secure it according to PCI DSS or implement measures to prevent the channel from being used for cardholder data.
A self-signed certificate may also be acceptable if the certificate is issued by an internal CA within the organization, the certificate’s author is confirmed, and the certificate is verified—for example, via hash or signature—and has not expired. Note that self-signed certificates where the Distinguished Name (DN) field in the “issued by” and “issued to” field is the same are not acceptable.
The bullet above (for confirming that certificates used to safeguard PAN during transmission over open, public networks are valid and are not expired or revoked) is a best practice until 31 March 2025, after which it will be required as part of Requirement 4.2.1 and must be fully considered during a PCI DSS assessment.",,,False,,"Compliance, GRC, MDM, PM, SAST, WAF","Automox Add-On, Cyber GRC Add-On, Surface Command, insightCloudSec, insightVM","Compliance, GRC, MDM, PM, SAST, WAF","Automox Add-On, Cyber GRC Add-On, Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command, insightCloudSec, insightVM","pci, protocol, pci, encryption, hash, certificate, encryption, key",,Evidence logs/reports available via Rapid7 Cloud Platform APIs.,Yes,No,Control Met,,PAN is protected with strong cryptography during transmission.,,,
PCI DSS,4,Data,Protect Cardholder Data,4.2.1.1,"An inventory of the entity’s trusted keys and certificates is maintained.
Applicability Notes
This requirement is a best practice until 31 March 2025, after which it will be required and must be fully considered during a PCI DSS assessment.",,,False,,"Compliance, MDM, PM","Automox Add-On, Cyber GRC Add-On, Surface Command, insightCloudSec, insightVM","Compliance, MDM, PM","Automox Add-On, Cyber GRC Add-On, Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command, insightCloudSec, insightVM","pci, pci",,Evidence logs/reports available via Rapid7 Cloud Platform APIs.,Yes,No,Control Met,,PAN is protected with strong cryptography during transmission.,,,
PCI DSS,4,Data,Protect Cardholder Data,4.2.1.2,Wireless networks transmitting PAN or connected to the CDE use industry best practices to implement strong cryptography for authentication and transmission. ,,,False,,Encryption,,Encryption,,,,Available via API/Product reports.,Partial,No,Control Supported,,PAN is protected with strong cryptography during transmission.,,,
