Framework,Version,CIS Asset Type,NIST Category,Control ID,Control Description,Custom Mapping Category,Custom Mapping Criteria,Review Req.,Custom Mapping Sub Type,Implementation Market Technologies,Rapid7 Implementation Products (Custom Script),Supporting Market Technologies,Rapid7 Supporting Products (Custom Script),Technical Details,Primary Control Support,Evidence Available,Native R7 Data,3rd Party Data,Type,Implementation Details,Sub-Category,Additional Details,Product API,Delivered
"CIS IG3, CIS IG2, CIS IG1",8.1.2,Devices,Identify,1.1,"Establish and maintain an accurate, detailed, and up-to-date inventory of all enterprise assets with the potential to store or process data, to include: end-user devices (including portable and mobile), network devices, non-computing/IoT devices, and servers. Ensure the inventory records the network address (if static), hardware address, machine name, enterprise asset owner, department for each asset, and whether the asset has been approved to connect to the network. For mobile end-user devices, MDM type tools can support this process, where appropriate. This inventory includes assets connected to the infrastructure physically, virtually, remotely, and those within cloud environments. Additionally, it includes assets that are regularly connected to the enterprise’s network infrastructure, even if they are not under control of the enterprise. Review and update the inventory of all enterprise assets bi-annually, or more frequently.",Inventory,Technology,True,Active Monitoring,"CAASM, CMDB, AM, DS","Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, N/A, Surface Command, Vector Command","AM, CAASM, CMDB, CNAPP, DS, EASM, MDM, VM","DSPM Add-On, Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command","cloud, network","Show Results, Deployed Technology",Control Met,Yes,Yes,,,Establish and Maintain Detailed Enterprise Asset Inventory,"""POI devices that capture payment card data via direct physical interaction with the payment card form factor are protected from tampering and unauthorized substitution, including the following:
• Maintaining a list of POI devices.
• Periodically inspecting POI devices to look for tampering or unauthorized substitution.
• Training personnel to be aware of suspicious behavior and to report tampering or unauthorized substitution of devices.""
""An up-to-date list of POI devices is maintained, including:
• Make and model of the device.
• Location of device.
• Device serial number or other methods of unique identification.""
Wireless access points are identified and monitored, and unauthorized wireless access points are addressed.
""Authorized and unauthorized wireless access points are managed as follows:
• The presence of wireless (Wi-Fi) access points is tested for,
• All authorized and unauthorized wireless access points are detected and identified,
• Testing, detection, and identification occurs at least once every three months.
• If automated monitoring is used, personnel are notified via generated alerts.""
An inventory of authorized wireless access points is maintained, including a documented business justification.
PCI DSS scope is documented and validated.
An inventory of system components that are in scope for PCI DSS, including a description of function/use, is maintained and kept current.",,
"CIS IG3, CIS IG1, CIS IG2",8.1.2,Devices,Respond,1.2,"Ensure that a process exists to address unauthorized assets on a weekly basis. The enterprise may choose to remove the asset from the network, deny the asset from connecting remotely to the network, or quarantine the asset.",Inventory,Process,True,Remediations,"CAASM, EASM, VM, NTA, NSM, SOAR","Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, NTA Add-On, Nexpose, Surface Command, Vector Command, insightConnect, insightIDR, insightVM","CAASM, EASM, NSM, NTA, SOAR, VM","Exposure Command, Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, NTA Add-On, Nexpose, Surface Command, Ultimate, Vector Command, insightAppSec, insightConnect, insightIDR, insightVM","quarantine, network","Attach Process Doc, Show Remediations",Control Supported,No,Yes,,via documented process,Address Unauthorized Assets,"Authorized and unauthorized wireless access points are managed as follows:
• The presence of wireless (Wi-Fi) access points is tested for,
• All authorized and unauthorized wireless access points are detected and identified,
• Testing, detection, and identification occurs at least once every three months.
• If automated monitoring is used, personnel are notified via generated alerts.",,
"CIS IG3, CIS IG2",8.1.2,Devices,Detect,1.3,"Utilize an active discovery tool to identify assets connected to the enterprise’s network. Configure the active discovery tool to execute daily, or more frequently.",Inventory,Technology,False,Active Monitoring,VM,"Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Managed Threat Complete, Nexpose, insightVM","NTA, SIEM, VM","Exposure Command, Exposure Command Advanced, Exposure Command Essentials, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, Nexpose, Ultimate, Vector Command, insightAppSec, insightVM",network,"Show Scans, Monitoring Enabled",Control Met,Yes,Yes,,"Network & agent scans for IVM.
EASM for SC.",Utilize an Active Discovery Tool,,,
"CIS IG3, CIS IG2",8.1.2,Devices,Identify,1.4,"Use DHCP logging on all DHCP servers or Internet Protocol (IP) address management tools to update the enterprise’s asset inventory. Review and use logs to update the enterprise’s asset inventory weekly, or more frequently.",Inventory,Technology,True,Passive Monitoring,Infrastructure,,"CAASM, Infrastructure, SIEM, VM","Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command","dhcp, protocol, logging, logging","Show Results, Monitoring Enabled",Control Met,Yes,No,,via log ingestion & NTA or ,Use Dynamic Host Configuration Protocol (DHCP) Logging to Update Enterprise Asset Inventory,,,
CIS IG3,8.1.2,Devices,Detect,1.5,"Use a passive discovery tool to identify assets connected to the enterprise’s network. Review and use scans to update the enterprise’s asset inventory at least weekly, or more frequently.",Inventory,Technology,True,Passive Monitoring,"NTA, NSM, IDS, IPS","Incident Command Ultimate, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, N/A, NTA Add-On, insightIDR","IDS, IPS, NSM, NTA, SIEM","Incident Command Ultimate, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, N/A, NTA Add-On, insightIDR","passive, network",Monitoring Enabled,Control Met,Yes,No,,via NTA,Use a Passive Asset Discovery Tool,,,
"CIS IG3, CIS IG2, CIS IG1",8.1.2,Software,Identify,2.1,"Establish and maintain a detailed inventory of all licensed software installed on enterprise assets. The software inventory must document the title, publisher, initial install/use date, and business purpose for each entry; where appropriate, include the Uniform Resource Locator (URL), app store(s), version(s), deployment mechanism, and decommission date. Review and update the software inventory bi-annually, or more frequently.",Inventory,Technology,True,Active Monitoring,"CAASM, CMDB","Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command","AM, CAASM, CM, CMDB, CNAPP, MDM, VM","Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command",,"Show Results, Deployed Technology",Control Met,Yes,Yes,,SC future state,Establish and Maintain a Software Inventory,"All services, protocols, and ports allowed are identified, approved, and have a defined business need.",,
"CIS IG3, CIS IG2, CIS IG2",8.1.2,Software,Identify,2.2,"Ensure that only currently supported software is designated as authorized in the software inventory for enterprise assets. If software is unsupported, yet necessary for the fulfillment of the enterprise’s mission, document an exception detailing mitigating controls and residual risk acceptance. For any unsupported software without an exception documentation, designate as unauthorized. Review the software list to verify software support at least monthly, or more frequently.",Inventory,Process,True,Active Monitoring,"CAASM, CMDB","Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command","AM, CAASM, CM, CMDB, CNAPP, MDM, VM","Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command",,"Show Configuration, Show Results",Control Supported,Yes,Yes,,"SC future state
(Q2)",Ensure Authorized Software is Currently Supported ,"If any insecure services, protocols, or daemons are present:
• Business justification is documented.
• Additional security features are documented and implemented that reduce the risk of using insecure services, protocols, or daemons.",,
"CIS IG3, CIS IG2, CIS IG3",8.1.2,Software,Respond,2.3,"Ensure that unauthorized software is either removed from use on enterprise assets or receives a documented exception. Review monthly, or more frequently.",Inventory,Process,True,"Active Monitoring, Remediations","CAASM, CMDB","Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command","AM, CAASM, CM, CMDB, CNAPP, MDM, VM","Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command",,Show Remediations,Control Supported,Yes,Yes,,"SC future state
(Q2)
custom VM policy",Address Unauthorized Software,"Hardware and software technologies in use are reviewed at least once every 12 months, including at least the following:
• Analysis that the technologies continue to receive security fixes from vendors promptly.
• Analysis that the technologies continue to support (and do not preclude) the entity’s PCI DSS compliance.
• Documentation of any industry announcements or trends related to a technology, such as when a vendor has announced “end of life” plans for a technology.
• Documentation of a plan, approved by senior management, to remediate outdated technologies, including those for which vendors have announced “end of life” plans.",,
"CIS IG3, CIS IG2",8.1.2,Software,Detect,2.4,"Utilize software inventory tools, when possible, throughout the enterprise to automate the discovery and documentation of installed software. ",Inventory,Technology,False,Active Monitoring,"CAASM, CMDB","Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command","AM, CAASM, CM, CMDB, CNAPP, MDM, VM","Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command",,Show Results,Control Supported,Yes,Yes,,SC future state,Utilize Automated Software Inventory Tools,,,
"CIS IG3, CIS IG2",8.1.2,Software,Protect,2.5,"Use technical controls, such as application allowlisting, to ensure that only authorized software can execute or be accessed. Reassess bi-annually, or more frequently.",Posture,Technology,True,Active Monitoring,"AM, MDM, EPP, CM","N/A, Ransomware Prevention Add-On","AM, CAASM, CM, EPP, MDM, VM","Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, MDR, Managed Threat Complete, Ransomware Prevention, Surface Command, Vector Command, insightIDR, insightVM",,Show Configuration,Control Supported,No,Yes,,???,Allowlist Authorized Software,"All services, protocols, and ports allowed are identified, approved, and have a defined business need.",,
"CIS IG3, CIS IG2",8.1.2,Software,Protect,2.6,"Use technical controls to ensure that only authorized software libraries, such as specific .dll, .ocx, .so, etc., files, are allowed to load into a system process. Block unauthorized libraries from loading into a system process. Reassess bi-annually, or more frequently.",Posture,Technology,True,Active Monitoring,"EPP, PM, MDM, AM, CM","Automox Add-On, N/A, Ransomware Prevention Add-On","AM, CAASM, CM, EPP, MDM, PM, VM","Automox Add-On, Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, MDR, Managed Threat Complete, Ransomware Prevention, Surface Command, Vector Command, insightIDR, insightVM",,"Show Configuration, Show Responses",Control Supported,No,Yes,,???,Allowlist Authorized Libraries,"All services, protocols, and ports allowed are identified, approved, and have a defined business need.",,
"CIS IG3, CIS IG2, CIS IG1",8.1.2,Software,Protect,2.7,"Use technical controls, such as digital signatures and version control, to ensure that only authorized scripts, such as specific .ps1, .py, etc., files, are allowed to execute. Block unauthorized scripts from executing. Reassess bi-annually, or more frequently.",Posture,Technology,True,Active Monitoring,"EPP, PM, MDM, AM, CM","Automox Add-On, N/A, Ransomware Prevention Add-On","AM, CAASM, CM, EPP, MDM, PM, VM","Automox Add-On, Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, MDR, Managed Threat Complete, Ransomware Prevention, Surface Command, Vector Command, insightIDR, insightVM",,"Show Configuration, Show Responses",Control Supported,No,Yes,,???,Allowlist Authorized Scripts,"All services, protocols, and ports allowed are identified, approved, and have a defined business need.",,
"CIS IG3, CIS IG2, CIS IG1",8.1.2,Data,Govern,3.1,"Establish and maintain a data management process. In the process, address data sensitivity, data owner, handling of data, data retention limits, and disposal requirements, based on sensitivity and retention standards for the enterprise. Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard.",Govern,Process,True,,GRC,Cyber GRC Add-On,"DSPM, GRC",Cyber GRC Add-On,,Attach Process Doc,Control Supported,No,Yes,,,Establish and Maintain a Data Management Process,"Media with cardholder data is securely stored, accessed, distributed, and destroyed.",,
"CIS IG3, CIS IG2, CIS IG1",8.1.2,Data,Identify,3.2,"Establish and maintain a data inventory, based on the enterprise’s data management process. Inventory sensitive data, at a minimum. Review and update inventory annually, at a minimum, with a priority on sensitive data.",Inventory,Technology,True,,"CAASM, CMDB, DSPM","DSPM Add-On, Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command","AM, CAASM, CMDB, CNAPP, DSPM","DSPM Add-On, Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command",,Show Results,,,,,,Establish and Maintain a Data Inventory,"Account data storage is kept to a minimum through implementation of data retention and disposal policies, procedures, and processes that include at least the following:
• Coverage for all locations of stored account data.
• Coverage for any sensitive authentication data (SAD) stored prior to completion of authorization. This bullet is a best practice until its effective date; refer to Applicability Notes below for details.
• Limiting data storage amount and retention time to that which is required for legal or regulatory, and/or business requirements.
• Specific retention requirements for stored account data that defines length of retention period and includes a documented business justification.
• Processes for secure deletion or rendering account data unrecoverable when no longer needed per the retention policy.
• A process for verifying, at least once every three months, that stored account data exceeding the defined retention period has been securely deleted or rendered unrecoverable.",,
"CIS IG3, CIS IG2, CIS IG1",8.1.2,Data,Protect,3.3,"Configure data access control lists based on a user’s need to know. Apply data access control lists, also known as access permissions, to local and remote file systems, databases, and applications.",Posture,Technology,False,,,,,,,,,,,,,Configure Data Access Control Lists,"Inbound traffic to the CDE is restricted as follows:
• To only traffic that is necessary.
• All other traffic is specifically denied.",,
"CIS IG3, CIS IG2, CIS IG1",8.1.2,Data,Protect,3.4,Retain data according to the enterprise’s data management process. Data retention must include both minimum and maximum timelines.,Posture,Technology,True,,,,"AM, CM, DSPM, MDM, SIEM",,,,,,,,,Enforce Data Retention,"Account data storage is kept to a minimum through implementation of data retention and disposal policies, procedures, and processes that include at least the following:
• Coverage for all locations of stored account data.
• Coverage for any sensitive authentication data (SAD) stored prior to completion of authorization. This bullet is a best practice until its effective date; refer to Applicability Notes below for details.
• Limiting data storage amount and retention time to that which is required for legal or regulatory, and/or business requirements.
• Specific retention requirements for stored account data that defines length of retention period and includes a documented business justification.
• Processes for secure deletion or rendering account data unrecoverable when no longer needed per the retention policy.
• A process for verifying, at least once every three months, that stored account data exceeding the defined retention period has been securely deleted or rendered unrecoverable.",,
"CIS IG3, CIS IG2, CIS IG1",8.1.2,Data,Protect,3.5,Securely dispose of data as outlined in the enterprise’s data management process. Ensure the disposal process and method are commensurate with the data sensitivity.,Posture,Process,True,,,,,,,,,,,,,Securely Dispose of Data,"Account data storage is kept to a minimum through implementation of data retention and disposal policies, procedures, and processes that include at least the following:
• Coverage for all locations of stored account data.
• Coverage for any sensitive authentication data (SAD) stored prior to completion of authorization. This bullet is a best practice until its effective date; refer to Applicability Notes below for details.
• Limiting data storage amount and retention time to that which is required for legal or regulatory, and/or business requirements.
• Specific retention requirements for stored account data that defines length of retention period and includes a documented business justification.
• Processes for secure deletion or rendering account data unrecoverable when no longer needed per the retention policy.
• A process for verifying, at least once every three months, that stored account data exceeding the defined retention period has been securely deleted or rendered unrecoverable.",,
"CIS IG3, CIS IG2, CIS IG1",8.1.2,Data,Protect,3.6,"Encrypt data on end-user devices containing sensitive data. Example implementations can include: Windows BitLocker®, Apple FileVault®, Linux® dm-crypt.",Posture,Technology,False,,"AM, CM, MDM",,"AM, CAASM, CM, CNAPP, DSPM, MDM, VM","Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command, insightVM","encrypt, encrypt",,,,,,????,Encrypt Data on End-User Devices,,,
"CIS IG3, CIS IG2",8.1.2,Data,Identify,3.7,"Establish and maintain an overall data classification scheme for the enterprise. Enterprises may use labels, such as “Sensitive,” “Confidential,” and “Public,” and classify their data according to those labels. Review and update the classification scheme annually, or when significant enterprise changes occur that could impact this Safeguard.",Govern,Process,True,,,,GRC,,,Attach Policy/Process Doc,Control Supported,Partially,Partially,,,Establish and Maintain a Data Classification Scheme,All media with cardholder data is classified in accordance with the sensitivity of the data.,,
"CIS IG3, CIS IG2",8.1.2,Data,Identify,3.8,"Document data flows. Data flow documentation includes service provider data flows and should be based on the enterprise’s data management process. Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard.",Govern,Process,True,,,,GRC,,,Attach Policy/Process Doc,Control Supported,Partially,Partially,,,Document Data Flows,"An accurate data-flow diagram(s) is maintained that meets the following:
• Shows all account data flows across systems and networks.
• Updated as needed upon changes to the environment.",,
"CIS IG3, CIS IG2",8.1.2,Data,Protect,3.9,Encrypt data on removable media.,Posture,Technology,False,,"AM, MDM",,"AM, CAASM, MDM, VM","Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command","encrypt, encrypt",Features Enabled,,,,,"via built-in VM Policy, and SC mitigations",Encrypt Data on Removable Media,"If disk-level or partition-level encryption (rather than file-, column-, or field-level database encryption) is used to render PAN unreadable, it is implemented only as follows:
• On removable electronic media
OR
• If used for non-removable electronic media, PAN is also rendered unreadable via another mechanism that meets Requirement 3.5.1.",,
"CIS IG3, CIS IG2",8.1.2,Data,Protect,3.10,Encrypt sensitive data in transit. Example implementations can include: Transport Layer Security (TLS) and Open Secure Shell (OpenSSH).,Posture,Technology,False,,"AM, MDM",,"AM, CAASM, DAST, EASM, MDM, NSM, NTA, SAST, SCA, SIEM, VM","Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command","tls, encrypt, encrypt",Show Results,,,,,Identify insecure services via scans,Encrypt Sensitive Data in Transit,All non-console administrative access is encrypted using strong cryptography.,,
"CIS IG3, CIS IG2",8.1.2,Data,Protect,3.11,"Encrypt sensitive data at rest on servers, applications, and databases containing sensitive data. Storage-layer encryption, also known as server-side encryption, meets the minimum requirement of this Safeguard. Additional encryption methods may include application-layer encryption, also known as client-side encryption, where access to the data storage device(s) does not permit access to the plain-text data. ",Posture,Technology,False,,"AM, Infrastructure, CM",,"AM, CAASM, CM, DSPM, EASM, Infrastructure, VM","Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command, insightVM","storage, encrypt, encryption, encrypt, encryption",Features Enabled,,,,,,Encrypt Sensitive Data at Rest,"All security policies and operational procedures that are identified in Requirement 3 are:
• Documented.
• Kept up to date.
• In use.
• Known to all affected parties.",,
"CIS IG3, CIS IG2",8.1.2,Data,Protect,3.12,Segment data processing and storage based on the sensitivity of the data. Do not process sensitive data on enterprise assets intended for lower sensitivity data.,Posture,Technology,True,,,,,,storage,"Show Configuration, Show Results",Control Supported,Yes,Yes,,???,Segment Data Processing and Storage Based on Sensitivity,"Security features are defined and implemented for all services, protocols, and ports that are in use and considered to be insecure, such that the risk is mitigated.",,
"CIS IG3, CIS IG2, CIS IG1",8.1.2,Data,Protect,3.13,"Implement an automated tool, such as a host-based Data Loss Prevention (DLP) tool to identify all sensitive data stored, processed, or transmitted through enterprise assets, including those located onsite or at a remote service provider, and update the enterprise's sensitive data inventory.",Endpoint Monitoring,Technology,True,,"DLP, DSPM","DSPM Add-On, N/A","CAASM, DLP, DSPM, EPP, SIEM","DSPM Add-On, N/A","prevention, dlp","Monitoring Enabled, Show Responses, Show Configuration",Control Met,Yes,Yes,,,Deploy a Data Loss Prevention Solution,,,
"CIS IG3, CIS IG2, CIS IG1",8.1.2,Data,Detect,3.14,"Log sensitive data access, including modification and disposal. ",Logging,Technology,False,Passive Monitoring,"CM, Infrastructure, AM, MDM, FIM","Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, N/A, insightIDR","AM, CM, EDR, EPP, FIM, HIDS, HIPS, Infrastructure, MDM, NSM, NTA, SIEM","Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, Surface Command, Vector Command, insightIDR, insightVM",,"Show Results, Deployed Technology, Monitoring Enabled",Control Met,Yes,Yes,,,Log Sensitive Data Access,Audit logs are enabled and active for all system components and cardholder data.,,
"CIS IG3, CIS IG2, CIS IG1",8.1.2,Documentation,Govern,4.1,"Establish and maintain a secure configuration process for enterprise assets (end-user devices, including portable and mobile, non-computing/IoT devices, and servers) and software (operating systems and applications). Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard.",Govern,Process,True,,,,"Asset Management, MDM, Patch Management, VM, CNAPP, CAASM, EASM, DAST, PT, SAST, BAS",,configuration,Show Configuration,Control Met,Yes,Yes,,via IT/RM tools,Establish and Maintain a Secure Configuration Process,"All security policies and operational procedures that are identified in Requirement 1 are:
• Documented.
• Kept up to date.
• In use.
• Known to all affected parties.",,
"CIS IG3, CIS IG2, CIS IG1",8.1.2,Documentation,Govern,4.2,"Establish and maintain a secure configuration process for network devices. Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard.",Govern,Process,True,,,,"CAASM, VM, EASM, Infrastructure, Asset Management",,"configuration, network",Show Configuration,Control Met,Yes,Yes,,"via documented processes, ",Establish and Maintain a Secure Configuration Process for Network Infrastructure,"All security policies and operational procedures that are identified in Requirement 1 are:
• Documented.
• Kept up to date.
• In use.
• Known to all affected parties.",,
"CIS IG3, CIS IG2, CIS IG1",8.1.2,Devices,Protect,4.3,"Configure automatic session locking on enterprise assets after a defined period of inactivity. For general purpose operating systems, the period must not exceed 15 minutes. For mobile end-user devices, the period must not exceed 2 minutes.",Posture,Technology,False,,,,,,session,,,,,,via Policy Checks,Configure Automatic Session Locking on Enterprise Assets,"If a user session has been idle for more than 15 minutes, the user is required to re-authenticate to re-activate the terminal or session.",,
"CIS IG3, CIS IG2, CIS IG1",8.1.2,Devices,Protect,4.4,"Implement and manage a firewall on servers, where supported. Example implementations include a virtual firewall, operating system firewall, or a third-party firewall agent.",Posture,Technology,False,,"FW, WAF",,"CAASM, VM, HIPS","Exposure Command, Exposure Command Advanced, Exposure Command Essentials, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, N/A, Nexpose, Ultimate, Vector Command, insightVM",firewall,"Features Enabled, Show Results, Show Responses",Control Supported,No,Partially,,"Built-in VM policy checks
SC supports this in the following connectors: Absolute, BitDefender, Cybereason, Jamf, Kaseya, TrendMicro, WithsecureEPP, Zscaler Zia & Zcc",Implement and Manage a Firewall on Servers,"Configuration standards for NSC (Network Security Controls) rulesets are:
• Defined.
• Implemented.
• Maintained.",,
"CIS IG3, CIS IG2, CIS IG1",8.1.2,Devices,Protect,4.5,"Implement and manage a host-based firewall or port-filtering tool on end-user devices, with a default-deny rule that drops all traffic except those services and ports that are explicitly allowed.",Posture,Technology,False,,FW,,"CAASM, VM, HIPS","Exposure Command, Exposure Command Advanced, Exposure Command Essentials, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, Nexpose, Ultimate, Vector Command, insightVM","default, firewall, filtering","Features Enabled, Show Results, Show Responses",Control Supported,No,Partially,,"Built-in VM policy checks
SC supports this in the following connectors: Absolute, BitDefender, Cybereason, Jamf, Kaseya, TrendMicro, WithsecureEPP, Zscaler Zia & Zcc",Implement and Manage a Firewall on End-User Devices,"Configuration standards for NSC (Network Security Controls) rulesets are:
• Defined.
• Implemented.
• Maintained.",,
"CIS IG3, CIS IG2, CIS IG1",8.1.2,Devices,Protect,4.6,"Securely manage enterprise assets and software. Example implementations include managing configuration through version-controlled-infrastructure-as-code and accessing administrative interfaces over secure network protocols, such as Secure Shell (SSH) and Hypertext Transfer Protocol Secure (HTTPS). Do not use insecure management protocols, such as Telnet (Teletype Network) and HTTP, unless operationally essential.",Posture,Technology,False,,"Infrastructure, CM",,"VM, EASM, NSM, IDS, NTA, IPS","Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command, insightVM","protocol, ssh, http, https, configuration, network, telnet",Show Results,Control Supported,Yes,Yes,,,Securely Manage Enterprise Assets and Software,,,
"CIS IG3, CIS IG2, CIS IG1",8.1.2,Users,Protect,4.7,"Manage default accounts on enterprise assets and software, such as root, administrator, and other pre-configured vendor accounts. Example implementations can include: disabling default accounts or making them unusable.",Posture,Process,False,,"AM, IAM, CM, MDM",,VM,"Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command, insightVM",default,"Show Remediations, Show Scans",Control Supported,Partially,Yes,,???,Manage Default Accounts on Enterprise Assets and Software,"Vendor default accounts are managed as follows:
• If the vendor default account(s) will be used, the default password is changed per Requirement 8.3.6.
• If the vendor default account(s) will not be used, the account is removed or disabled.",,
"CIS IG3, CIS IG2",8.1.2,Devices,Protect,4.8,"Uninstall or disable unnecessary services on enterprise assets and software, such as an unused file sharing service, web application module, or service function.",Posture,Process,False,,"AM, CM, MDM",,"VM, CAASM","Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command, insightVM",,"Show Remediations, Show Scans",Control Supported,Partially,No,,could create a specific scan template,Uninstall or Disable Unnecessary Services on Enterprise Assets and Software,"All services, protocols, and ports allowed are identified, approved, and have a defined business need.",,
"CIS IG3, CIS IG2",8.1.2,Devices,Protect,4.9,Configure trusted DNS servers on enterprise assets. Example implementations include: configuring assets to use enterprise-controlled DNS servers and/or reputable externally accessible DNS servers. ,Posture,Technology,False,,"AM, CM, MDM",,"NTA, NSM, IDS, IPS","Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command, insightVM",dns,"Show Scans, Show Results, Monitoring Enabled",Control Supported,Yes,Yes,,,Configure Trusted DNS Servers on Enterprise Assets,,,
"CIS IG3, CIS IG2",8.1.2,Devices,Protect,4.10,"Enforce automatic device lockout following a predetermined threshold of local failed authentication attempts on portable end-user devices, where supported. For laptops, do not allow more than 20 failed authentication attempts; for tablets and smartphones, no more than 10 failed authentication attempts. Example implementations include Microsoft® InTune Device Lock and Apple® Configuration Profile maxFailedAttempts.",Posture,Technology,False,,"AM, CM, MDM",,"VM, CAASM","Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command, insightVM","lockout, configuration","Show Configuration, Show Results",Control Supported,Partially,Partially,,via policy,Enforce Automatic Device Lockout on Portable End-User Devices,"Invalid authentication attempts are limited by:
• Locking out the user ID after not more than 10 attempts.
• Setting the lockout duration to a minimum of 30 minutes or until the user’s identity is confirmed.",,
